Id	Buckwalter	Arabic	English	Meanings	BanglaMeanings
150	blg	بلغ	bā lām ghayn	 Reaching, attaining,    arriving, coming to the utmost point to which one directs one's course or one    who seeks, pursues, desires, intends or tries to reach. Or the reaching, attaining    or coming to a point.   An event/time that is premeditated, intended, determined or appointed   Having an effect   Bringing, conveying or delivering communications, announcements, news or tidings   Exceeding usual, proper, ordinary just bounds/degrees, acting egregiously, immoderately    or extravagantly   Striving, laboring, exerting power/efforts   Endeavors or ability   Employing oneself vigorously, strenuously, laboriously, earnestly with energy    and effectiveness, taking pains or extraordinary pains, not flagging, to the    utmost degree   Accomplishing, attaining to the utmost of one's power/ability or efforts/endeavors    (e.g. in any affair)   Sufficiency (e.g. means of subsistence), a thing that suffices, contents, enables    one to attain what is sought, enough   A slanderer, one who conveys gossip or other peoples discourse to others   Calamity, misfortune, disaster, distress or affliction   Sharp, penetrating, eloquent and/or effective in speech   Firm covenants, in the utmost degree   Attaining or having attained puberty, virility, ripeness or maturity. Applied    to either sexes   Good, excellent thing   Praise, eulogy or commendation   Place and/or time someone or something reaches, arrives, attains or comes to   The sum/amount/product resulting from subtraction, addition or multiplication   A sum of money	
151	blw	بلو	bā lām wāw	 Try, prove or test    by good or evil   To become old and worn out, wear and tear, withered, decayed   Not caring, minding, heeding, regarding or paying attention   Conferring favors, benefits or blessings   Swearing oaths, covenants   Informing, acquainting, revealing, manifesting, making apparent, evident, clear    or plain   Competing, striving or hastening	
152	bnn	بنن	bā nūn nūn	 the extremities    or ends (fingers/toes), limbs, members of the body (arms, hands, legs etc).	
153	bny	بني	bā nūn yā	 Building, framing    or constructing   Kind of plank used in the construction (e.g. of ships)   Becoming large, fattened or fat (like food enlarges a man)   Rearing, bringing up, educating   Form or mode of constructing a word   Natural constitution   Of or relating to a son or daughter   Branches of a road/tree   A builder/architect   A building   Bending over a bowstring while shooting   Ribs, bones of the breast or shoulder blades and the four legs   A thief/robber   A wayfarer/traveler   A warrior   A rich man   A certain beast of prey   A skin for water or milk made of hide   Raised high (applied to a palace/pavilion)	
154	bht	بهت	bā hā tā	 confound/confuse/dumbfound,    unable to see their right course, become affected with wonder, cut short, overcome,    took by surprise, caught unaware suddenly, calumny, slander, false accusation.	
155	bhj	بهج	bā hā jīm	 beautiful/bright/splendid, joyful/glad/happy, goodly, loveliness.	
156	bhl	بهل	bā hā lām	 left    to his own will/wish/opinion/judgment, humbled/abased himself, addressed himself    with earnest/energetic supplication, strive, sincere without hypocrisy, act    of cursing.	
157	bhm	بهم	bā hā mīm	    animals that pasture/graze, lamb/goat/sheep, animals of the bovine kind, stay/remain    in a place, not to quit, continue to look at a thing without being relieved    by doing so, silent/confounded/perplexed to a thing, not to fight or engage    in conflict, a thing dubious/vague/confused, closed/locked door, courageous    man, beasts/brutes.	
158	bwA	بوأ	bā wāw hamza	    returned, went/came back, he bore or took upon himself, became ladened/burdened,    became the abiding-place thereof, became answerable/accountable/responsible,    equal/alike, a match, rested/remained, lodged him in an abode, mubawwa:    a dwelling, place of lodging, settlement, tabawwa: to take or make as    one's dwelling.	
159	bwb	بوب	bā wāw bā	 door/gate, place of entrance, mode/manner.	
160	bwr	بور	bā wāw rā	 perished, become extinct, destroyed, become bad/corrupted, destructive,    in a state of perdition/detriment/deficiency, ineffectual, stagnant/dull, not    sought/desired.	
161	bwl	بول	bā wāw lām	    mind/heart, to move/occur to my mind/heart, state/condition/case for one which    cares, easy/pleasant condition, attention, origin.	
162	byt	بيت	bā yā tā	 	
163	byd	بيد	bā yā dāl	 perish,    went away, passed away, became cut off, extinct, destroyed.	
164	byE	بيع	bā yā ʿayn	 	
165	byn	بين	bā yā nūn	 	
166	tbb	تبب	tā bā bā	 suffer loss, diminution, become beaten/trodden/lost, become old, perished,  perdition, death, weakened/impaired, to cut-off, curtail, be doomed,  destruction/loss/ruin.	
167	tbr	تبر	tā bā rā	 To break/destroy/ruin/perish/lose/smash/crumble, perdition/destruction.	
168	tjr	تجر	tā jīm rā	 to traffic/trade, be in business,  commerce, merchandise, dealt, sold &amp; bought, employed property for the purpose  of gain.   tijarah n.f. 2:16, 2:282, 4:29, 9:24, 24:37, 35:29, 61:10, 62:11, 62:11  Lane's  Lexicon, Volume 1, pages:  334,  335      &#1578; &#1582; &#1584; =   Ta-Kha-Thal&nbsp; = took, receive, took hold, act of taking, aid/assist,  prevent/restrain/witheld/captivate/fascinate, gain/earn/accept/acquire,  retain/detain, overcame/overpowered/subdued, seize, affect/influence, gain  mastery over / slay / kill, destroy/punish/exterminate, took to / commenced /  began, a benefit/favour, he made/constituted/appointed, a way or manner of life,  a thing taken.	
169	tHt	تحت	tā ḥā tā	 Particle: that which is below; the lower part; beneath;  inferior, slop; declivity of a mountain; under. It is the opposite of fawq/above. This particle has been used about 51 times in al quran.	
170	trb	ترب	tā rā bā	 To have much earth, have dust in the hands, dusty, be destitute, poverty,  neediness, misery, suffering loss. Poor man intimately acquainted with his  mother earth. He sank from the wealth. Soil/earth/dust.  Cemetery, burial-place, grave. Contemporary friend, companion, match/fellow/equal, suiting the age and matching  in all other aspects, peer, one having similar tastes/habits/views. Breast, breast bones, chest, ribs.	
171	trk	ترك	tā rā kāf	 To leave off, leave alone,  abandon/desert/relinquish/quit, forsake, give up anything, neglect, omit,  bequeath anything to anyone. A certain nation, Turks, Turkish.  taraka vb. (I) perf. act.   2:17, 2:180, 2:248, 2:264, 4:7, 4:7, 4:9, 4:11, 4:11, 4:12, 4:12, 4:12, 4:12,  4:33, 4:176, 4:176, 6:94, 12:17, 12:37, 16:61, 18:99, 23:100, 29:35, 35:45,  37:78, 37:108, 37:119, 37:129, 44:25, 51:37, 54:15, 59:5, 62:11 impf. act. 7:176, 11:87 impv. 44:24 impf. pass. 9:16, 26:146, 29:2, 75:36 pcple. act. 11:12, 11:53, 37:36  Lane's  Lexicon, Volume 1, pages:  341,  342      = Ta-Siin-Ayn  (tasa'a) = To be the ninth, nine.	
172	tsE	تسع	tā sīn ʿayn	 To be the ninth, nine.	
173	tEs	تعس	tā ʿayn sīn	 he fell having stumbled, he fell upon his face, become lowered/degraded,  perish, become far removed, render unhappy, destroy.  taAAs n.m. - 47:8  Lane's Lexicon, Volume 1, pages:  344,  345       &#1578; &#1576; &#1593;  = Ta-Ba-Ayn  = follow/went or walked behind/after, overtook, pursue/investigate/examine/hunt,  sought/reach/obtain it, prosecute/sue (for right/due or blood-revenge),  succession of one to another, consecutive/successive, follower, imitator,  continue the same course, aid/assist/help, come with, obey, desire/demand. An appelation of each of the Kings of El-Yemen who posessed Himyer and Hadramowt,  so called because they followed one another when one died, another took his  place, followed him in his course of acting. It is said in a tradition to mean a  particular King who was a believer, whose people were unbelievers. [44:37, 50:14]  tabi'a vb. (I) perf. act.   2:38,  2:145, 3:73, 7:18, 14:36, 17:63, 38:85 impf. act. 2:263, 79:7 pcple. act. 2:145, 2:145, 24:31  taba n.m. 14:21, 40:47   tabi n.m. 17:69   tubba n.prop. 44:37, 50:145  atba'a vb. (IV) perf. act. 7:175, 10:90,  15:18, 18:85, 18:89, 18:92, 20:78, 23:44, 26:60, 28:42, 37:10 impf. act.  2:262, 77:17, perf. pass. 11:60, 11:99  tataba'a vb. (VI) - 4:92, 58:4  ittaba'a vb. (VIII) perf. act. 2:102, 2:120,  2:145, 2:166, 2:167, 3:20, 3:53, 3:55, 3:68, 3:162, 3:167, 3:174, 4:83, 4:125,  5:16, 7:90, 7:157, 7:176, 8:64, 9:42, 9:100, 9:117, 11:27, 11:59, 11:97, 11:116,  , 12:38, 12:108, 13:37, 15:42, 18:28, 18:70, 19:59, 20:16, 20:47, 20:123, 23:71,  26:111, 26:215, 28:35, 28:50, 30:29, 34:20, 36:11, 40:7, 47:3, 47:3, 47:14,  47:16, 47:28, 52:21, 54:3, 57:27, 71:21 impf. act.  2:120, 2:143, 2:168, 2:170, 2:208, 3:7, 4:27, 4:115, 4:135,  5:48, 5:49, 5:77, 6:50, 6:56, 6:116, 6:142, 6:148, 6:150, 6:153, 7:3, 7:142,  7:157, 7:193, 7:302, 10:15, 10:36, 10:66, 10:66, 10:89, 14:44, 17:47, 18:66,  20:93, 20:108, 20:134, 22:3, 24:21, 24:21, 25:8, 26:40, 26:224, 28:47, 28:49,  28:50, 28:57, 31:21, 38:26, 39:18, 42:15, 45:18, 46:9, 48:15, 48:15, 53:23,  53:28, 54:24 impv. 2:170, 3:31, 3:95, 6:106, 6:153, 6:155,  7:3, 7:158, 10:109, 15:65, 16:123, 19:43, 20:90, 29:12, 31:15, 31:21,  33:2, 36:20, 36:21, 39:55, 40:38, 43:61, 45:18, 75:18 perf. pass. 2:166 impf. pass. 10:35 n.vb. 2:178, 4:157 pcple. pass. 26:52, 44:23  Lane's Lexicon, Volume 1, pages:  330,  331,  332,  333      = Ta-Ba-Ba  = suffer loss, diminution, become beaten/trodden/lost, become old, perished,  perdition, death, weakened/impaired, to cut-off, curtail, be doomed,  destruction/loss/ruin.	
174	tfv	تفث	tā fā thā	 to leave off the care of one's body and comforts, self-neglect, unkemptness,  uncleanness, altered, perform and complete the acts of worship in combat and  imposed. The state of self-denial, acts of worship, needful rituals regarding the  cleansing and care of one's body and comfort.	
175	tqn	تقن	tā qāf nūn	 To fatten (a land by watering it with muddy water). Nature, in born disposition, mud. To improve a thing, set a thing in good order, do a thing skillfully and  thoroughly, fasten a thing, bring to perfection, make a thing in perfect  consonance with the purpose to which it has been created.	
176	tlw	تلو	tā lām wāw	 To follow, walk behind, imitate, pursue, consecutive. To read, recite, peruse,  rehearse, declare, meditate. Sought repeatedly, collect. Bond or obligation. One who relieves or aids another in singing.	অনুসরণ, অনুকরণ
177	twb	توب	tā wāw bā	 To return; repent; turn one's self in a repentant manner (with ila or  without it), turn with mercy (with ala), adapt.	
